id M M_err Li Li_err MLi MLi_err M_density M_density_err
3500 384146.442597474 81816.62756429854 426410.85068183875 86344.57031663299 0.9008833663196346 0.059478194059946324 1.9309517744534328 0.4936659401219672
3600 327104.8973171242 71206.8916790698 362918.4300219715 73827.05614149399 0.9013179553800033 0.06985081805931143 1.6442265549462678 0.4268285868748413
3700 310952.3569194564 68310.58104361988 343349.0608141167 69982.1128270707 0.9056449905007915 0.07422241048304573 1.563034142146836 0.4083682201372679
3800 180671.7767960834 42148.69300462876 252077.98895976433 52184.89921324582 0.7167296817213243 0.07708370389949923 0.9081653487121107 0.2477538338584774
3900 197878.3901966544 46489.17944390632 248589.8945366195 51511.093302377565 0.7960033555085045 0.0881324891388927 0.9946561683420131 0.2727533770112735
4000 135184.78832504904 33508.47652585534 204793.3726709 43115.2616686566 0.6601033351908758 0.0863632186158185 0.6795203025448546 0.19391984957906205
4100 119316.00382306792 29452.748342826162 204768.8913292979 43110.6158313851 0.5826861836703046 0.07509439142755929 0.5997542180659011 0.17062268347855353
0001 760271.6322649507 154436.18974936154 879882.5793118037 176499.75909487327 0.8640603304813624 0.027660139290206772 3.8215838924920127 0.9458939661855631
0101 1175078.6068174017 237240.6828213144 1163542.3527523351 233107.2136506004 1.0099147693573662 0.025223048351962006 5.9066539979231605 1.455974853115972
0201 1285536.7865841407 258880.73048849287 1355600.6190846043 271464.0848957757 0.9483152843735233 0.020164526395161118 6.461883448393369 1.5901183371326675
0301 1562931.458324254 314141.8490890067 1636572.333386048 327616.72403348814 0.9550029818056182 0.017221686489891728 7.8562364196162795 1.9307666559585188
0401 1935620.6530451507 388476.4751967393 1937591.1340273784 387762.41644438566 0.9989830253929104 0.015134710542194799 9.729597154131822 2.388808365634622
0501 2225459.604222745 446186.2099680711 2310731.5822119866 462352.95721720916 0.9630974109473963 0.012225977031235473 11.186502581389782 2.744615356617055
0601 2895756.466467741 580089.2026130185 2888417.1731494777 577851.0684524177 1.0025409395105696 0.010343350984232095 14.555818998355225 3.569283342848044
0701 3328216.6170889246 666481.4943389428 3298378.553868608 659823.9495334759 1.0090462822059403 0.00918284094340511 16.729624616795864 4.101345136066772
0801 4014749.080184282 803692.9290948553 3892625.168341809 778652.4084108125 1.0313731496255252 0.008054137439715085 20.180550958506007 4.946255615687588
0901 4492602.817487024 899133.5047862575 4547053.061122845 909521.3190845188 0.9880251576342117 0.006617011933720358 22.58253212937108 5.534084003918258
1001 5145002.969108051 1029562.1314453105 5135282.763293023 1027155.9018080288 1.001892827768805 0.006005502837080718 25.86188888172903 6.337148029205525
1101 5589320.851420302 1118369.0724773707 5672190.079781155 1134529.0550877207 0.985390258930806 0.005372068709486497 28.095298613369415 6.883986955138994
1201 6127376.252090535 1225979.4901712884 5999585.545576129 1200003.8105219076 1.0212999223935784 0.005320888573200668 30.799889663733786 7.546471025915314
1301 6348553.089712168 1270193.587583815 6255328.649878696 1251149.359075949 1.0149032041402462 0.005083451888691757 31.911657884690623 7.818710198137731
1401 6148541.459967309 1230094.8027486452 6820075.208496224 1364092.7020615411 0.9015357268065987 0.004091213087258519 30.906278767404743 7.572047685061616
1501 6267611.077426753 1253961.5726461287 6490682.197711717 1298217.454957744 0.9656320994480968 0.0046362294371238505 31.5047944989632 7.718870414277181
1601 6378421.573961823 1276175.6103497893 6222942.744958107 1244672.5529510232 1.0249847757525468 0.005167384585052214 32.06179490606229 7.855520282544948
1701 6278155.544229316 1256112.8303197292 6220722.151910132 1244228.4602218685 1.009232592441305 0.005075787290488071 31.55779735054605 7.732027301279487
1801 5583006.297785994 1117053.6083812467 5969610.608142551 1194009.2003482531 0.9352379349786687 0.004821741547661504 28.063557857259315 6.875996369088829
1901 5705813.782375951 1141712.547832531 5518971.471068968 1103887.539583024 1.0338545528431213 0.005829451650718104 28.680862364055496 7.027604454731867
2001 4963834.614816803 993443.7954567266 4610484.250704949 922206.1926967511 1.0766406184031159 0.007228415301969657 24.95122743494307 6.1145559057775145
2101 3974271.022933155 795489.1782748138 4159481.543834928 832016.2533268882 0.9554726907789055 0.006916366493070457 19.977083822517475 4.8959725999986885
2201 3469529.406106662 694673.7571400983 3517875.0816529305 703714.7278178068 0.9862571369295033 0.008408643037281994 17.43994794781962 4.275049461830282
2301 3206442.1239029225 642160.5339616094 3169177.3281776216 633989.2752632415 1.0117585076082598 0.009569174015199926 16.1175125479954 3.951548291427821
2401 2587569.043056217 518501.5017448935 2642063.740538972 528594.9319290286 0.9793741927393325 0.010960316775837758 13.006683080092197 3.190028661538805
2501 1969005.6132648312 394809.9879160799 2233780.302737922 446969.41853166325 0.8814678913819058 0.011390968778209689 9.89741010520423 2.428502807461693
